"sampling_date","t","coral_id","sample_id","bag_number","state","filename"
"29.08.23","2","TSAL45","2TSAL45P",451,"to do","2023_08_29_2TSAL45_P8292441_JPG.rf.88324ca6ab248bb9ae3fcbfab03b0668.jpg"
"29.08.23","2","TSML44","2TSML44P",472,"extracted","2023_08_29_2TSML44_P8292492_JPG.rf.2da1e3c060344d8c8547e65ed7e0f946.jpg"
"11.08.23","2","ESPL26","2ESPL26P",270,"to do","2023_08_11_2ESPL26_P8111280_JPG.rf.b3f8866c3b395d02c9d327ab0524916d.jpg"
"19.03.24","B","TSAL49","BTSAL49P",19,"to do","2024_03_19_BTSAL49_P3191186_JPG.rf.7304ddff9da83b506249b7e576fbcc22.jpg"
"19.03.24","B","TSAL50","BTSAL50P",10,"to do","2024_03_19_BTSAL50_P3191202_JPG.rf.41466ec8a19eacf603019de685bb1537.jpg"
"19.03.24","B","TSAL51","BTSAL51P",9,"to do","2024_03_19_BTSAL51_P3191207_JPG.rf.741aa1f3fc8cda40d87798d44820afcb.jpg"
"19.03.24","B","TSAL52","BTSAL52P",8,"to do","2024_03_19_BTSAL52_P3191213_JPG.rf.ead5e489668065d627e9132348abecd2.jpg"
"19.03.24","B","TSAL53","BTSAL53P",7,"to do","2024_03_19_BTSAL53_P3191219_JPG.rf.a7dbb8cef8984aa64df5128282559929.jpg"
"20.03.24","B","TSAL54","BTSAL54P",37,"to do","2024_03_20_BTSAL54_P3191274_JPG.rf.66975f3de2c0c9da4e4efb8a307fa8df.jpg"
"20.03.24","B","TSAL56","BTSAL56P",38,"to do","2024_03_20_BTSAL56_P3191279_JPG.rf.843fbb3d86c17972bc500c31b6bccb5f.jpg"
"20.03.24","B","TSAL57","BTSAL57P",39,"to do","2024_03_20_BTSAL57_P3191282_JPG.rf.4e968b3d80b7206ca2fbed14f2cd3206.jpg"
"20.03.24","B","TSAL58","BTSAL58P",40,"to do","2024_03_20_BTSAL58_P3191288_JPG.rf.5ccff3feadb8c61fd084cc4f9495a229.jpg"
